displayName,commonName,sciName,speciesCode,category,reportAsSpeciesCode,reportAsCategory,showSpeciesPageLink
Black-bellied Whistling-Duck,Black-bellied Whistling-Duck,Dendrocygna autumnalis,bbwduc,species,bbwduc,species,True
Fulvous Whistling-Duck,Fulvous Whistling-Duck,Dendrocygna bicolor,fuwduc,species,fuwduc,species,True
Bar-headed Goose,Bar-headed Goose,Anser indicus,bahgoo,species,bahgoo,species,True
Snow Goose,Snow Goose,Anser caerulescens,snogoo,species,snogoo,species,True
Graylag Goose,Graylag Goose,Anser anser,gragoo,species,gragoo,species,True
Graylag Goose (Domestic type),Graylag Goose (Domestic type),Anser anser (Domestic type),gragoo1,domestic,gragoo1,domestic,False
Swan Goose (Domestic type),Swan Goose (Domestic type),Anser cygnoides (Domestic type),swagoo2,domestic,swagoo2,domestic,False
Graylag x Swan Goose (Domestic type) (hybrid),Graylag x Swan Goose (Domestic type) (hybrid),Anser anser x cygnoides (Domestic type),x00776,hybrid,x00776,hybrid,False
Greater White-fronted Goose,Greater White-fronted Goose,Anser albifrons,gwfgoo,species,gwfgoo,species,True
Lesser White-fronted Goose,Lesser White-fronted Goose,Anser erythropus,lwfgoo,species,lwfgoo,species,True
Taiga Bean-Goose,Taiga Bean-Goose,Anser fabalis,taibeg1,species,taibeg1,species,True
Tundra Bean-Goose,Tundra Bean-Goose,Anser serrirostris,tunbeg1,species,tunbeg1,species,True
Taiga/Tundra Bean-Goose,Taiga/Tundra Bean-Goose,Anser fabalis/serrirostris,y00468,slash,y00468,slash,False
Pink-footed Goose,Pink-footed Goose,Anser brachyrhynchus,pifgoo,species,pifgoo,species,True
Domestic goose sp. (Domestic type),Domestic goose sp. (Domestic type),Anser sp. (Domestic type),domgoo1,domestic,domgoo1,domestic,False
Anser sp.,Anser sp.,Anser sp.,anser1,spuh,anser1,spuh,False
Brant,Brant,Branta bernicla,brant,species,brant,species,True
Barnacle Goose,Barnacle Goose,Branta leucopsis,bargoo,species,bargoo,species,True
Graylag x Barnacle Goose (hybrid),Graylag x Barnacle Goose (hybrid),Anser anser x Branta leucopsis,x00649,hybrid,x00649,hybrid,False
Cackling Goose,Cackling Goose,Branta hutchinsii,cacgoo1,species,cacgoo1,species,True
Canada Goose,Canada Goose,Branta canadensis,cangoo,species,cangoo,species,True
Graylag x Canada Goose (hybrid),Graylag x Canada Goose (hybrid),Anser anser x Branta canadensis,x00758,hybrid,x00758,hybrid,False
Graylag Goose (Domestic type) x Canada Goose (hybrid),Graylag Goose (Domestic type) x Canada Goose (hybrid),Anser anser (Domestic type) x Branta canadensis,gragoo4,hybrid,gragoo4,hybrid,False
Barnacle x Canada Goose (hybrid),Barnacle x Canada Goose (hybrid),Branta leucopsis x canadensis,x00417,hybrid,x00417,hybrid,False
Red-breasted Goose,Red-breasted Goose,Branta ruficollis,rebgoo1,species,rebgoo1,species,True
goose sp.,goose sp.,Anser/Branta sp.,goose1,spuh,goose1,spuh,False
Mute Swan,Mute Swan,Cygnus olor,mutswa,species,mutswa,species,True
Black Swan,Black Swan,Cygnus atratus,blkswa,species,blkswa,species,True
Tundra Swan,Tundra Swan,Cygnus columbianus,tunswa,species,tunswa,species,True
Whooper Swan,Whooper Swan,Cygnus cygnus,whoswa,species,whoswa,species,True
swan sp.,swan sp.,Cygnus sp.,swan1,spuh,swan1,spuh,False
Egyptian Goose,Egyptian Goose,Alopochen aegyptiaca,egygoo,species,egygoo,species,True
Ruddy Shelduck,Ruddy Shelduck,Tadorna ferruginea,rudshe,species,rudshe,species,True
Common Shelduck,Common Shelduck,Tadorna tadorna,comshe,species,comshe,species,True
Ruddy x Common Shelduck (hybrid),Ruddy x Common Shelduck (hybrid),Tadorna ferruginea x tadorna,x00876,hybrid,x00876,hybrid,False
Muscovy Duck,Muscovy Duck,Cairina moschata,musduc,species,musduc,species,True
Muscovy Duck (Domestic type),Muscovy Duck (Domestic type),Cairina moschata (Domestic type),musduc2,domestic,musduc2,domestic,False
Ringed Teal,Ringed Teal,Callonetta leucophrys,rintea1,species,rintea1,species,True
Wood Duck,Wood Duck,Aix sponsa,wooduc,species,wooduc,species,True
Mandarin Duck,Mandarin Duck,Aix galericulata,manduc,species,manduc,species,True
Brazilian Teal,Brazilian Teal,Amazonetta brasiliensis,bratea1,species,bratea1,species,True
Baikal Teal,Baikal Teal,Sibirionetta formosa,baitea,species,baitea,species,True
Garganey,Garganey,Spatula querquedula,gargan,species,gargan,species,True
Blue-winged Teal,Blue-winged Teal,Spatula discors,buwtea,species,buwtea,species,True
Cinnamon Teal,Cinnamon Teal,Spatula cyanoptera,cintea,species,cintea,species,True
Northern Shoveler,Northern Shoveler,Spatula clypeata,norsho,species,norsho,species,True
Blue-winged Teal x Northern Shoveler (hybrid),Blue-winged Teal x Northern Shoveler (hybrid),Spatula discors x clypeata,x00629,hybrid,x00629,hybrid,False
Gadwall,Gadwall,Mareca strepera,gadwal,species,gadwal,species,True
Eurasian Wigeon,Eurasian Wigeon,Mareca penelope,eurwig,species,eurwig,species,True
Gadwall x Eurasian Wigeon (hybrid),Gadwall x Eurasian Wigeon (hybrid),Mareca strepera x penelope,x00723,hybrid,x00723,hybrid,False
American Wigeon,American Wigeon,Mareca americana,amewig,species,amewig,species,True
Chiloe Wigeon,Chiloe Wigeon,Mareca sibilatrix,chiwig1,species,chiwig1,species,True
Mallard,Mallard,Anas platyrhynchos,mallar3,species,mallar3,species,True
Mallard (Domestic type),Mallard (Domestic type),Anas platyrhynchos (Domestic type),mallar2,domestic,mallar2,domestic,False
Muscovy Duck x Mallard (hybrid),Muscovy Duck x Mallard (hybrid),Cairina moschata x Anas platyrhynchos,mdxmal1,hybrid,mdxmal1,hybrid,False
Wood Duck x Mallard (hybrid),Wood Duck x Mallard (hybrid),Aix sponsa x Anas platyrhynchos,x00205,hybrid,x00205,hybrid,False
Gadwall x Mallard (hybrid),Gadwall x Mallard (hybrid),Mareca strepera x Anas platyrhynchos,x00420,hybrid,x00420,hybrid,False
Mallard/Mexican Duck,Mallard/Mexican Duck,Anas platyrhynchos/diazi,mallar,slash,mallar,slash,False
American Black Duck,American Black Duck,Anas rubripes,ambduc,species,ambduc,species,True
Mallard x American Black Duck (hybrid),Mallard x American Black Duck (hybrid),Anas platyrhynchos x rubripes,x00004,hybrid,x00004,hybrid,False
White-cheeked Pintail,White-cheeked Pintail,Anas bahamensis,whcpin,species,whcpin,species,True
Northern Pintail,Northern Pintail,Anas acuta,norpin,species,norpin,species,True
Mallard x Northern Pintail (hybrid),Mallard x Northern Pintail (hybrid),Anas platyrhynchos x acuta,x00628,hybrid,x00628,hybrid,False
Yellow-billed Pintail,Yellow-billed Pintail,Anas georgica,yebpin1,species,yebpin1,species,True
Green-winged Teal,Green-winged Teal,Anas crecca,gnwtea,species,gnwtea,species,True
Garganey/Green-winged Teal,Garganey/Green-winged Teal,Spatula querquedula/Anas crecca,y00766,slash,y00766,slash,False
Anas sp.,Anas sp.,Anas sp.,anas1,spuh,anas1,spuh,False
