#,Book name,Column1,eBird name,code_loc,lat,lon,IBA,Fee
1,Nairobi National Park,general,Nairobi NP,L915651,-1.3683544,36.8508911,,yes
1,Nairobi National Park,sub,Nairobi NP--Athi Dam,L8463166,-1.4129575,36.9289254,,yes
1,Nairobi National Park,sub,Nairobi NP--Hippo Pools,L1807084,-1.4139909,36.9000325,,yes
1,Nairobi National Park,sub,Nairobi NP--Nagolomon Dam,L8463713,-1.3491295,36.7967347,,yes
1,Nairobi National Park,sub,Nairobe NP--Rhino Circuit,L8463279,-1.4245329,36.9279952,,yes
2,Ngong Road Forest Sanctuary,general,Ngong Forest Sanctuary,L978227,-1.3144246,36.7405986,,
3,Nairobi Arboretum,sub,"Nairobi Arboretum, Chiromo",L2949109,-1.2769691,36.8005514,,
4,Karura Forest Reserve,sub,"Karura Forest, Muthaiga",L1460267,-1.2381315,36.8354416,,
5,"City Park, Nairobi",general,City Park,L1873927,-1.2644843,36.8277169,,
6,"Manguo Pond, Limuru",general,Manguo Swamp,L1122114,-1.1048,36.6328,,
7,Gatamaiyu Forest,general,Gatamaiyu Forest,L2354302,-0.9693899,36.6946793,,
8,Kinangop Plateau,general,Kinangop Plateau and Grasslands,L1458519,-0.851821,36.6019821,,
9,Aberdare National Park,general,Aberdare NP,L1158780,-0.3999678,36.7066956,,
9,Aberdare National Park,sub,Aberdare NP--Chania Falls,L2688861,-0.4547105,36.7162657,,
9,Aberdare National Park,sub,Aberdare NP--Fishing Lodge,L3830979,-0.48286,36.73008,,
9,Aberdare National Park,sub,Aberdare NP--Kiandongoro Gate area,L6196799,-0.4761517,36.8051004,,
9,Aberdare National Park,sub,Aberdare NP--Mount Satima,L4206242,-0.3497579,36.6166739,,
9,Aberdare National Park,sub,Aberdare NP--Salient,L5125062,-0.3704112,36.878314,,
9,Aberdare National Park,sub,Aberdare NP--The Ark,L961290,-0.3485788,36.81216,,
9,Aberdare National Park,sub,Aberdare NP--Treetops Lodge,L2383566,-0.3599989,36.9003403,,
10,Wajee Nature Park,general,Wajee Camp and Mukurweini area,L3615881,-0.5746336,37.0829022,,
11,South and West Mount Kenya,general,Mt. Kenya NP (general),L2726319,-0.1426133,37.3113213,,
11,South and West Mount Kenya,sub,Mt. Kenya NP--Alpine Zone,L1847383,-0.105812,37.3444176,,
11,South and West Mount Kenya,sub,Mt. Kenya NP--Castle Forest and Lodge,L1745937,-0.3793113,37.3103573,,
11,South and West Mount Kenya,sub,Mt. Kenya NP--Chogoria Road,L1851146,-0.2298626,37.5299406,,
11,South and West Mount Kenya,sub,Mt. Kenya NP--Meru/Chogoria Bandas,L1851147,-0.1591583,37.4454548,,
11,South and West Mount Kenya,sub,Mt. Kenya NP--Met Station Road,L1120199,-0.1761243,37.1735716,,
11,South and West Mount Kenya,sub,Mt. Kenya NP--Meteorological Station,L1921521,-0.1702948,37.2135172,,
11,South and West Mount Kenya,sub,Mt. Kenya NP--Rutundu Fishing Lodge,L3962628,-0.0389671,37.4606538,,
11,South and West Mount Kenya,sub,Mt. Kenya NP--Serena Mountain Lodge,L2651344,-0.3166493,37.1523178,,
11,South and West Mount Kenya,sub,Mt. Kenya NP--Sirimon Track,L1008083,-4.98E-04,37.2520337,,
12,Laikipia,sub,Lolldaiga Hills,L6301130,0.1348714,37.1324587,,
12,Laikipia,sub,Mpala Ranch and Research Centre,L1399176,0.4262656,36.864624,,
12,Laikipia,sub,Mpala Research Centre--Hippo Pool,L4299985,0.317893,36.909908,,
12,Laikipia,sub,Mpala Research Centre--Labs,L1897402,0.2929514,36.8985118,,
12,Laikipia,sub,Mpala Research Centre--River Camp,L1890211,0.2845802,36.9104262,,
13,Samburu and Buffalo Springs National Reserves,general,Samburu NR,L1233063,0.6127508,37.5462914,,
13,Samburu and Buffalo Springs National Reserves,sub,Samburu NR--Elephant Bedroom Camp,L7279336,0.5893746,37.6043701,,
13,Samburu and Buffalo Springs National Reserves,sub,Samburu NR--Larsens Tented Camp,L921120,0.5727386,37.5730705,,
13,Samburu and Buffalo Springs National Reserves,sub,Samburu NR--Samburu Intrepids Lodge,L4258009,0.5777888,37.4938273,,
13,Samburu and Buffalo Springs National Reserves,sub,Samburu NR--Samburu Lodge,L1008191,0.5723624,37.5381463,,
13,Samburu and Buffalo Springs National Reserves,sub,Samburu NR--Samburu Serena Lodge,L3619981,0.5678397,37.5227952,,
13,Samburu and Buffalo Springs National Reserves,sub,Samburu NR--Samburu Sopa Lodge,L1233073,0.608732,37.5232458,,
13,Samburu and Buffalo Springs National Reserves,sub,Buffalo Springs NR,L1008193,0.5688421,37.6124668,,
13,Samburu and Buffalo Springs National Reserves,sub,Buffalo Springs NR / Samburu NR (combined),L6301468,0.56393,37.5618696,,
13,Samburu and Buffalo Springs National Reserves,sub,Buffalo Springs NR--Buffalo Springs Lodge,L2699346,0.59215,37.6210821,,
14,Shaba National Reserve,general,Shaba NR,L2534665,0.6236335,37.7653313,,
14,Shaba National Reserve,sub,Shaba NR--Joy's Camp,L2751207,0.6380296,37.8817257,,
14,Shaba National Reserve,sub,Shaba NR--Shaba Sarova Lodge,L983269,0.6633706,37.7082753,,
15,Lake Turkana,general,Lake Turkana IBA,L6286237,3.685803,36.0596609,,
15,Lake Turkana,sub,Lake Turkana--Central Island NP,L2437572,3.495858,36.037216,,
15,Lake Turkana,sub,Lake Turkana--Eliye Springs,L3645639,3.2531401,36.020793,,
15,Lake Turkana,sub,Lake Turkana--Koobi Fora,L3642823,3.9463209,36.1893082,,
15,Lake Turkana,sub,Lake Turkana--Loiyengalani,L1823843,2.7581495,36.7166663,,
15,Lake Turkana,sub,Lake Turkana--Nadoto Harbour,L5088787,3.0159555,36.1284828,,
16,Meru National Park,sub,Meru (Imenti) Forest,L921091,0.0888862,37.6231956,,
16,Meru National Park,general,Meru NP,L1120197,0.1338958,38.2255554,,
16,Meru National Park,sub,"Meru NP--Kindani Campsite, Rojoweru River",L3646233,0.1885425,38.0756736,,
16,Meru National Park,sub,Meru NP--Murera Springs,L3264773,0.2097612,38.1097484,,
