displayName,commonName,sciName,speciesCode,category,reportAsSpeciesCode,reportAsCategory,showSpeciesPageLink
Common Ostrich,Common Ostrich,Struthio camelus,ostric2,species,ostric2,species,True
Somali Ostrich,Somali Ostrich,Struthio molybdophanes,ostric3,species,ostric3,species,True
Common/Somali Ostrich,Common/Somali Ostrich,Struthio camelus/molybdophanes,y00934,slash,y00934,slash,False
White-faced Whistling-Duck,White-faced Whistling-Duck,Dendrocygna viduata,wfwduc1,species,wfwduc1,species,True
Fulvous Whistling-Duck,Fulvous Whistling-Duck,Dendrocygna bicolor,fuwduc,species,fuwduc,species,True
White-backed Duck,White-backed Duck,Thalassornis leuconotus,whbduc1,species,whbduc1,species,True
Knob-billed Duck,Knob-billed Duck,Sarkidiornis melanotos,comduc2,species,comduc2,species,True
Egyptian Goose,Egyptian Goose,Alopochen aegyptiaca,egygoo,species,egygoo,species,True
Spur-winged Goose,Spur-winged Goose,Plectropterus gambensis,spwgoo1,species,spwgoo1,species,True
African Pygmy-Goose,African Pygmy-Goose,Nettapus auritus,afrpyg1,species,afrpyg1,species,True
Garganey,Garganey,Spatula querquedula,gargan,species,gargan,species,True
Hottentot Teal,Hottentot Teal,Spatula hottentota,hottea1,species,hottea1,species,True
Northern Shoveler,Northern Shoveler,Spatula clypeata,norsho,species,norsho,species,True
Gadwall,Gadwall,Mareca strepera,gadwal,species,gadwal,species,True
Eurasian Wigeon,Eurasian Wigeon,Mareca penelope,eurwig,species,eurwig,species,True
African Black Duck,African Black Duck,Anas sparsa,afbduc1,species,afbduc1,species,True
Yellow-billed Duck,Yellow-billed Duck,Anas undulata,yebduc1,species,yebduc1,species,True
Mallard,Mallard,Anas platyrhynchos,mallar3,species,mallar3,species,True
Cape Teal,Cape Teal,Anas capensis,captea1,species,captea1,species,True
Red-billed Duck,Red-billed Duck,Anas erythrorhyncha,rebduc1,species,rebduc1,species,True
Northern Pintail,Northern Pintail,Anas acuta,norpin,species,norpin,species,True
Green-winged Teal,Green-winged Teal,Anas crecca,gnwtea,species,gnwtea,species,True
Southern Pochard,Southern Pochard,Netta erythrophthalma,soupoc1,species,soupoc1,species,True
Common Pochard,Common Pochard,Aythya ferina,compoc,species,compoc,species,True
Ferruginous Duck,Ferruginous Duck,Aythya nyroca,ferduc,species,ferduc,species,True
Tufted Duck,Tufted Duck,Aythya fuligula,tufduc,species,tufduc,species,True
Maccoa Duck,Maccoa Duck,Oxyura maccoa,macduc1,species,macduc1,species,True
duck sp.,duck sp.,Anatinae sp.,duck1,spuh,duck1,spuh,False
Helmeted Guineafowl,Helmeted Guineafowl,Numida meleagris,helgui,species,helgui,species,True
Vulturine Guineafowl,Vulturine Guineafowl,Acryllium vulturinum,vulgui1,species,vulgui1,species,True
Crested Guineafowl,Crested Guineafowl,Guttera pucherani,cregui1,species,cregui1,species,True
Stone Partridge,Stone Partridge,Ptilopachus petrosus,stopar1,species,stopar1,species,True
Blue Quail,Blue Quail,Synoicus adansonii,bluqua1,species,bluqua1,species,True
Common Quail,Common Quail,Coturnix coturnix,comqua1,species,comqua1,species,True
Harlequin Quail,Harlequin Quail,Coturnix delegorguei,harqua1,species,harqua1,species,True
Scaly Francolin,Scaly Francolin,Pternistis squamatus,scafra2,species,scafra2,species,True
Hildebrandt's Francolin,Hildebrandt's Francolin,Pternistis hildebrandti,hilfra2,species,hilfra2,species,True
Jackson's Francolin,Jackson's Francolin,Pternistis jacksoni,jacfra2,species,jacfra2,species,True
Yellow-necked Francolin,Yellow-necked Francolin,Pternistis leucoscepus,yenspu1,species,yenspu1,species,True
Red-necked Francolin,Red-necked Francolin,Pternistis afer,renfra1,species,renfra1,species,True
Crested Francolin,Crested Francolin,Dendroperdix sephaena,crefra2,species,crefra2,species,True
Coqui Francolin,Coqui Francolin,Peliperdix coqui,coqfra2,species,coqfra2,species,True
Red-winged Francolin,Red-winged Francolin,Scleroptila levaillantii,rewfra2,species,rewfra2,species,True
Ring-necked Francolin,Ring-necked Francolin,Scleroptila streptophora,rinfra2,species,rinfra2,species,True
Orange River Francolin,Orange River Francolin,Scleroptila gutturalis,orrfra2,species,orrfra2,species,True
Moorland Francolin,Moorland Francolin,Scleroptila psilolaema,moofra2,species,moofra2,species,True
Shelley's Francolin,Shelley's Francolin,Scleroptila shelleyi,shefra2,species,shefra2,species,True
Greater Flamingo,Greater Flamingo,Phoenicopterus roseus,grefla3,species,grefla3,species,True
Lesser Flamingo,Lesser Flamingo,Phoeniconaias minor,lesfla1,species,lesfla1,species,True
Little Grebe,Little Grebe,Tachybaptus ruficollis,litgre1,species,litgre1,species,True
Great Crested Grebe,Great Crested Grebe,Podiceps cristatus,grcgre1,species,grcgre1,species,True
Eared Grebe,Eared Grebe,Podiceps nigricollis,eargre,species,eargre,species,True
Rock Pigeon,Rock Pigeon,Columba livia,rocpig,species,rocpig,species,True
Speckled Pigeon,Speckled Pigeon,Columba guinea,spepig1,species,spepig1,species,True
Rameron Pigeon,Rameron Pigeon,Columba arquatrix,rampig1,species,rampig1,species,True
Delegorgue's Pigeon,Delegorgue's Pigeon,Columba delegorguei,delpig1,species,delpig1,species,True
Lemon Dove,Lemon Dove,Columba larvata,lemdov2,species,lemdov2,species,True
Columba sp.,Columba sp.,Columba sp.,columb1,spuh,columb1,spuh,False
European Turtle-Dove,European Turtle-Dove,Streptopelia turtur,eutdov,species,eutdov,species,True
Dusky Turtle-Dove,Dusky Turtle-Dove,Streptopelia lugens,dutdov1,species,dutdov1,species,True
White-winged Collared-Dove,White-winged Collared-Dove,Streptopelia reichenowi,wwcdov1,species,wwcdov1,species,True
